SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubcategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency
f55edc34-b2f6-42f6-b100-9f68e5110bb7,cloud-shell-storage-westeurope,EU West,2019-04-05,Storage,Files,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,LRS Data Stored,,0.166656,0.050598,0.008432460288,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csbf55edc34b2f6x42f6xb10,"""ms-resource-usage"": ""azure-cloud-shell""",,,,,Storage,Files,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Sceno-BackupAzureVM,EU North,2019-04-04,Bandwidth,,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Data Transfer Out,Zone 1,0.000949,0.0733671,0.0000696253779,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Sceno-BackupAzureVM/providers/Microsoft.Compute/virtualMachines/RestoredVM,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrOut""}",,,Bandwidth,Bandwidth - Outbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,acdmy-costs,EU West,2019-04-05,Advanced Threat Protection,Storage,3783f977-f109-4a6b-9cf6-2f1432bb770c,Standard Trial Transactions,,0.0024,0,0,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/acdmy-costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Advanced Threat Protection,Advanced Threat Protection - Storage,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,defaultresourcegroup-weu,EU West,2019-04-04,Insight and Analytics,,6a11eb4c-01de-4438-88e0-e95b41869197,Data Included per Node,,0.000446009046108,0,0,microsoft.operationalinsights,microsoft.operationalinsights/workspaces,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourcegroups/defaultresourcegroup-weu/providers/microsoft.operationalinsights/workspaces/defaultworkspace-f55edc34-b2f6-42f6-b100-9f68e5110bb7-weu,,,,,,Insight and Analytics,OMS - Insight and Security Data,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-06,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,Disk Operations,,16.8704,0.0016866,0.02845361664,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/disks/BackupAzureVM-OSDisk,,,,,,Storage,Standard SSD Managed Disks,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-06,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,18,0.111315599999926,2.00368079999866,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/BackupAzureVM,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,dnsrg,Unknown,2019-04-05,Azure DNS,,8f967c58-b144-4bd7-8882-8bf02767c839,Public Zones,,0.032258064516129,0.42165,0.013601612903226,Microsoft.Network,Microsoft.Network/dnszones,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/dnsrg/providers/Microsoft.Network/dnszones/contoso.azure,,,,,,Azure DNS,Public DNS,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,Ex2-RG,EU North,2019-04-05,Bandwidth,,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Data Transfer In,Zone 1,0.23599,0,0,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/Ex2-RG/providers/Microsoft.Compute/virtualMachineScaleSets/myVMScaleSet,,,"{  ""ImageType"": null,  ""ServiceType"": null,  ""VMName"": ""myVMScaleSet_1"",  ""VMProperties"": null,  ""VCPUs"": 0,  ""UsageType"": ""DataTrIn""}",,,Bandwidth,Bandwidth - Inbound Data Transfer,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,SCENO-BACKUPAZUREVM,EU North,2019-04-04,Virtual Machines,Dv2/DSv2 Series Windows,4031e931-56e8-440a-8c08-a45cef6d4314,D2 v2/DS2 v2,EU North,23.983353,0.111315599999926,2.66972132920502,Microsoft.Compute,Microsoft.Compute/virtualMachines,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/SCENO-BACKUPAZUREVM/providers/Microsoft.Compute/virtualMachines/BackupAzureVM,,,"{  ""ImageType"": null,  ""ServiceType"": ""Standard_DS2_v2"",  ""VMName"": null,  ""VMProperties"": null,  ""VCPUs"": 2,  ""UsageType"": ""ComputeHR""}",,,Virtual Machines,Dv2/DSv2 Series Windows VM (D1-D5),EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,ACDMY-Costs,EU West,2019-04-05,Storage,Tiered Block Blob,c9711c6c-2fb5-4ff1-ad23-17e9beab62ba,Cool Read Operations,EU West,0.0001,0.008433,0.000000843300000000000000,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/ACDMY-Costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Storage,Tiered Block Blobs v2,EUR
f55edc34-b2f6-42f6-b100-9f68e5110bb7,acdmy-costs,EU West,2019-04-06,Advanced Threat Protection,Storage,3783f977-f109-4a6b-9cf6-2f1432bb770c,Standard Trial Transactions,,0.0005,0,0,Microsoft.Storage,Microsoft.Storage/storageAccounts,/subscriptions/f55edc34-b2f6-42f6-b100-9f68e5110bb7/resourceGroups/acdmy-costs/providers/Microsoft.Storage/storageAccounts/sa4costs0149,,,,,,Advanced Threat Protection,Advanced Threat Protection - Storage,EUR
